"gloss","ZZ_pForm","Sora","Gorum","Gtaʔ","Remo","Gutob","Kharia","Juang","Mundari","Santali","Ho","Korku","Korwa","Asuri"
"tamarind","","tittin","tintin","ttiŋ","","soso","tenton","tintiɳi","(jojo)","(jɔjɔ)","jojo","soso","",""
"tumeric","","saŋsaŋ","saŋsaŋ","sisia","sasaŋ","sasaŋ","saŋsaŋ","saŋsaŋ","sasaŋ","sasan","","sasan","",""
"mango","","uɽa (-ul)","uɽaʔ","uli","","ili","","olle/ale","uli","ul","uli","uli","uka","ul"
"green mango","","","aj-er","heʔwir/hiaʔwir","ayer/ager","aʔer","kayar/kyar","kayer","","","","","",""
"mango stone","","taŋkuŋ","tãku","nhirtur","","","","ukulum","","","","","",""
"bamboo shoot","","tabəŋ","tabo","hliʔ","leʔ","ileʔ","koleɖ","","","","","","",""
"bamboo","","","","","","","","","","","","","",""
"bamboo joint","","","","","","","","","","","","","",""
"jamun","","","","","","","","","","","","","",""
"date palm 1","","","","","","","","","","","","","",""
"date palm 2","","","","","","","","","","","","","",""
"fig","","","","","","","","","","","","","",""
"husked rice","","","","","","","","","","","","","",""
"paddy","","","","","","","","","","","","","",""
"rice husk","","","","","","","","","","","","","",""
"seed rice","","","","","","","","","","","","","",""
"seed","","","","","","","","","","","","","",""
"ear of paddy","","","","","","","","","","","","","",""
"cooked rice (cooked paddy)","","","","","","","","","","","","","",""
"cooked grain (porridge)","","","","","","","","","","","","","",""
"liquid gruel","","","","","","","","","","","","","",""
"rice scum","","","","","","","","","","","","","",""
"broken rice","","","","","","","","","","","","","",""
"pestle","","","","","","","","","","","","","",""
"husking hole","","","","","","","","","","","","","",""
"pressed rice","","","","","","","","","","","","","",""
"wet paddy field","","","","","","","","","","","","","",""
"eleusine coracana","","","","","","","","","","","","","",""
"setaria","","","","","","","","","","","","","",""
"panicum","","","","","","","","","","","","","",""
"phaseolus","","","","","","","","","","","","","",""
"vigna","","","","","","","","","","","","","",""
"dolichos","","","","","","","","","","","","","",""
"large millet","","","","","","","","","","","","","",""
"red gram","","","","","","","","","","","","","",""
"gourd","","","","","","","","","","","","","",""
"ladle","","","","","","","","","","","","","",""
"liquor","","","","","","","","","","","","","",""
"palm wine","","","","","","","","","","","","","",""
"eggplant","","","","","","","","","","","","","",""
"dog","","","","","","","","","","","","","",""
"cat","","","","","","","","","","","","","",""
"goat","","","","","","","","","","","","","",""
"pig","","","","","","","","","","","","","",""
"chicken","","","","","","","","","","","","","",""
"peacock","","","","","","","","","","","","","",""
"mushroom","","","","","","","","","","","","","",""
"cucumber","","","","","","","","","","","","","",""
"sal tree","","","","","","","","","","","","","",""
"buffalo","","","","","","","","","","","","","",""
"cow","","","","","","","","","","","","","",""
"bull","","","","","","","","","","","","","",""
"draught animal","","","","","","","","","","","","","",""
"calf","","","","","","","","","","","","","",""
"bullock","","","","","","","","","","","","","",""
"cattle","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""