gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku
water1,ɖ,d,d,ɖ,ɖ,ɖ,ɖ,d,d,d,d,ɖ
water2,a,a,a,a,a,a,ia,a,a:,a:,a:,a
water3,ʔ,ʔ,kˀ,ʔ,ʔ,g,ʔ,kˀ,0,0,ʔ,0
bone1,z,ɟ,s,s,j,ɟ,c,j,j,j,j,x
bone2,a,a,a,a,a,a,ia,a,a:,a,a:,x
bone3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,ŋ,ŋ,x
tongue1,l,l,l,l,l,l,l,l,l,x,l,l
tongue2,a,a,ea,a,a,a,ia,a,a:,x,a:,a
tongue3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,x,ŋ,ŋ
tiger1,k,k,k,k,k,k,k,k,k,k,k,k
tiger2,u,i,u,i,i,i,u,u,u,u,u,u
tiger3,l,n,0,l,ɽ,ɭ,0,l,l,l,l,l
tiger4,a,a:,0,0,o,ɔ,0,0,a:,a,0,a
to weave1,t,t,t,t,t,x,t,t,t,t,x,x
to weave2,a,a,a,a,a,x,æ,e,e,e,x,x
to weave3,ɲ,ɲ,Ny,ɲ,ɲ,x,0,ɲ,ŋ,ɲ,x,x
to climb1,ɖ,d,ɖ,ɖ,x,ɖ,ɖ,dˀ,dˀ,d,d,x
to climb2,a,a,a,a,x,a,æ,e̠,e,e:,e,x
to climb3,ˀɟ,ɟ,ĭ,j,x,ɲ,ʔ,cˀ,jˀ,0,ʔ,x
horn1,ɖ,d,d,x,ɖ,x,ɖ,d,d,d,d,x
horn2,e,e,e,x,e,x,i,e,i,i,e,x
horn3,r,r,r,x,r,x,r,r,r,r,r,x
horn4,a,a,u,x,e,x,a,e,i,i,e,x
horn5,ŋ,ŋ,ŋ,x,ŋ,x,ŋ,ɲ,ŋ,ɲ,ŋ,x
hand1,s,s,t,t,t,t,t,t,t,t,t,ʈ
hand2,i,i:,i,i,i,i,i,i,i,i:,i:,i
hand3,ʔ,ʔ,0,0,ʔ,0,0,0,0,0,ʔ,0
louse1,x,0,s,s,s,s,s,s,s,s,h,s
louse2,0,i,i,i,e,ɛ,i,e,i,i,i:,i
louse3,x,0,0,0,ʔ,0,0,0,k,k,0,k
foot1,z,ɟ,s,s,j,ɟ,c,j,x,x,x,x
foot2,i,e:,u,u,u,i,o,a,x,x,x,x
foot3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋg,x,x,x,x
head1,b,b,b,b,b,b,b,b,b,b,b,x
head2,0,0,0,0,o,ɔ,0,o̠,0,0,0,x
head2,0,0,0,0,k,k,h,h,0,0,0,x
head2,a,o:,o,o,o,ɔ,a,o̠,o,o:,o,x
head3,ˀb,b,b,b,ˀb,b,ʔ,kˀ,0,0,ʔ,x
eye1,m,m,m,m,m,m,m,m,m,m,m,m
eye2,a,o:,o,o,o,ɔ,wa,e̠,e,e,e,e
eye3,ˀd,ˀd,ʔ,ʔ,ˀɖ,ɖ,ʔ,tˀ,dˀ,d,ɖ,d
to cut1,g,g,g,g,g,x,g,g,g,g,g,g
to cut2,a,a,o,o,a,x,wa,e̠,e,e,e,e
to cut3,ˀd,d,ʔ,ʔ,ˀɖ,x,ʔ,tˀ,dˀ,ɖ,ɖ,ʈ
thatch1,a,ə,0,u,o,ɔ,0,x,x,x,x,x
thatch2,l,l,l,l,l,l,l,x,x,x,x,x
thatch3,a,a,o,o,o,ɔ,o,x,x,x,x,x
thatch4,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,x,x,x,x,x
to eat1,z,ɟ,s,s,j,ɟ,c,j,j,j,j,j
to eat2,u,o,u,o,o,i,o,o̠,o,o,o,o
to eat3,m,m,m,m,m,m,ŋ,m,m,m,m,m
drunk1,b,b,b,b,b,b,b,b,b,b,b,b
drunk2,u,u,u,i,u,u,u,u,u,u,u,u
drunk3,l,l,0,l,l,l,0,l,l,l,l,l
thigh1,b,b,b,x,bh,b,b,b,b,b,b,b
thigh2,u,u,u,x,u,u,u,u,u,u,u:,u
thigh3,l,l,l,x,l,l,l,l,l,l,l,l
thigh4,u,u:,i,x,u,u,u,u,u,u,0,u
ripe1,x,x,b,b,b,b,b,b,b,b,bh,b
ripe2,x,x,u,u,e,i,0,e,i,i,i:,i
ripe3,x,x,l,l,l,l,l,l,l,l,l,l
ripe4,x,x,u,u,o,i,e,e,i,i,i:,i
raw1,x,x,b,b,b,b,b,b,b,b,b,b
raw2,x,x,u,u,o,ɔ,0,e̠,e,e,e,o
raw3,x,x,r,r,r,r,r,r,r,r,r,b
raw4,x,x,o,o,o,ɔ,wa,e̠,e,e,e,o
raw5,x,x,0,l,l,n,0,l,l,l,l,ɽ
stone1,0,0,x,x,s,x,x,x,s,s,x,x
stone2,a,a,x,x,o,x,x,x,e,e,x,x
stone3,r,r,x,x,r,x,x,x,r,r,x,x
stone4,e,e,x,x,e,x,x,x,e,e,x,x
stone5,ŋ,ŋ,x,x,ŋ,x,x,x,ŋ,ɲ,x,x
fuel1,0,0,s,s,s,s,s,s,s,s,s,x
fuel2,a,a,u,u,o,ɛ,u,e̠,e,e,e,x
fuel3,ŋ,ŋ,ŋ,N,ŋg,ŋ,0,ŋg,ŋg,ŋg,Ng,x
fuel4,a,ə,o,o,o,ɔ,a,e̠,e,e,e,x
fuel4,l,l,0,l,l,n,0,l,l,l,l,x
to spread1,b,b,b,b,b,b,b,b,b,b,b,b
to spread2,i,e/i:,e,e,e,ɛ,e,e,i,i,e,i
to spread3,l,l,0,0,l,n,ʔ,l,l,l,l,l
to burn1,b,b,x,b,x,x,b,b,b,b,b,b
to burn2,a,a:,x,a,x,x,a,a,a,a,a:,a:
to burn3,l,l,x,l,x,x,0,l,l,l,l,l
to tie1,t,t,t,t,t,t,t,t,t,t,t,ʈ
to tie2,o,o,u,o,o,ɔ,u,o̠,o,o,o,o
to tie3,l,l,0,l,l,r,0,l,l,l,l,l
to grind1,r,r,r,r,r,r,r,r,r,r,r,–
to grind2,i,i,i,i,i,i,i,i,i,i,i:,x
to grind3,ˀd,d,ʔ,ɽ,ɖ,ɖ,g,tˀ,ˀd,ɖ,ɖ,–
fever/pain1,0,0,0,0,k,k,0,h,h,h,h,k
fever/pain2,a,a/ə,0,i,o/u,a,a,a,a:,a,a:,a
fever/pain3,s,s,s,s,s,s,s,s,s,s,s,S
fever/pain4,u,u:,i,i,u,u,u,o,u,u,u:,u
to shoot1,t,t,t,t,t,t,ʈ,t,t,t,x,ʈ
to shoot2,i,u,i,i,u,u,wi,u,ui,u,x,u
to shoot3,ŋ,ɲ,ŋ,ŋ,ɲ,ɲ,ŋ,ɲ,ŋ,ŋ,x,ɲj
chicken1,x,s,s,s,s,s,s,s,s,s,s,x
chicken2,x,i:,i,i,i,ɛ,æ,i,i,i,i:,x
chicken3,x,m,ŋ,ŋ,ŋ,ŋ,ŋ,m,m,m,m,x
to wipe1,z,ɟ,s,s,j,x,c,j,j,j,j,j
to wipe2,o,o,u,o,o,x,u,o̠,o,o,o,o
to wipe3,ˀd,d,ʔ,d,ˀɖ,x,ʔ,tˀ,dˀ,ɖ,ɖ,0
to bear fruit/ fruit1,z,ɟ,s,x,x,x,c,j,j,j,j,j
to bear fruit/ fruit2,o,o:,u,x,x,x,u,o̠,o,o:,o,o:
to bear fruit/ fruit3,ʔ,0,ʔ,x,x,x,0,0,0,0,ʔ,0
to sweep1,z,ɟ,s,s,j,ɟ,c,j,j,j,x,j
to sweep2,o,o:,u,o,o,ɔ,o,o̠,o,o:,x,u
to sweep3,ʔ,ʔ,kˀ,g,ʔ,g,ʔ,kˀ,ˀ,0,x,0
hail/pebble1,0,0,0,0,0,0,h,0,0,0,0,x
hail/pebble2,a,a,a,a,a,a,a,a,a:,a,a:,x
hail/pebble3,r,r,r,r,r,ɭ,r,r,ɽ,r,r,x
hail/pebble4,i,e:,e,e,e,ɛ,e,e,i,i,i,x
hail/pebble4,l,l,0,l,l,n,0,l,l,l,l,x
night1,0,0,m,n,0,x,m,0,0,0,0,0
night1,u,o,i,o,i,x,i,a,a:,a,a,a
night2,0,0,n,N,0,x,n,0,0,0,0,0
night3,ɖ,r,ɖ,d,ɖ,x,ɖ,y,y,y,y,y
night4,u,u,i,i,i,x,i,u,u,u,u,u
night5,ˀb,b,pˀ,b,ˀb,x,g,pˀ,b,b,b,p
cloud1,t,t,t,t,t,x,t,0,0,0,0,x
cloud2,a,a,i,i,i,x,0,0,0,0,0,x
cloud3,r,r,r,r,r,x,r,r,r,r,l,x
cloud4,u,u,i,i,i,x,i,i,i,i,i,x
cloud5,ˀb,b,b,b,ˀb,x,g,m,m,m,Nb,x
leaf1,0,0,0,0,0,0,0,p,p,p,x,p
leaf2,o,o:,u,o,u,o,u,a,a:,a,x,a
leaf3,l,l,l,l,l,l,l,lh,lh,l,x,l
leaf4,a,a:,a,a,a,a,ia,a,a:o,a,x,a
leaf5,ʔ,0,kˀ,g,ʔ,ʔ,ʔ,0,0,0,x,ʔ
skin1,u,u,u,i,u,0,u,0,x,x,x,0
skin2,0,0,0,0,0,0,g,0,x,x,x,0
skin3,s,s,s,s,s,ch,s,a,x,x,x,s
skin4,a,a,a,a:,a,a,a,a,x,x,x,a
skin5,l,l,0,l,l,l,0,l,x,x,x,l
to laugh1,l,x,x,l,l,l,l,l,l,l,l,l
to laugh2,i,x,x,u,a,a,wa,a,a:,a,a,a:
to laugh3,0,x,x,0,0,0,0,n,n,n,n,N
to laugh4,ɖ,x,x,ɖ,ɖ,r,ʔ,ɖ,d,d,d,d
to laugh4,a,x,x,o,a,a,0,a,a:,a,a,0
forehead/front1,0,0,0,s,s,0,s,s,s,s,s,s
forehead/front2,a,a,u,u,o,ɛ,0,a,a:,a,a,a
forehead/front3,m,mm,m,m,m,m,0,m,m,m,m,mm
forehead/front4,a,a,ŋ,o,o,ɔ,æ,a,a:,a,a,a
forehead/front5,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,ŋ,ŋ,0
fear1,b,b,b,b,b,x,b,x,b,x,x,x
fear2,u,a,u,u,ɔ,x,0,x,o,x,x,x
fear3,t,t,t,t,t,x,ʈ,x,t,x,x,x
fear4,o,o:,u,o,ɔ,x,o,x,o,x,x,x
fear5,ŋ,ŋ,ŋ,ŋ,ŋ,x,ʔ,x,ŋ,x,x,x
to cook1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,x,x,x,x,x
to cook2,e,i,o,o,e,ɛ,ue,x,x,x,x,x
to cook3,ɲ,ɲ,Ny,ɲ,ɲ,ɲ,0,x,x,x,x,x
snake1,b,x,b,b,b,x,b,b,b,b,b,b
snake2,u,x,u,ui,u,x,o,i,i,i,i:,i
snake3,ˀd,x,ʔ,0,ɲ,x,ʔ,ɲ,ŋ,ɲ,ŋ,ɲj
to plough1,x,x,s,s,s,s,s,s,s,s,s,x
to plough2,x,x,e,ui,i,i,i,i,iu,i:,i:,x
to lick1,z,ɟ,s,s,j,x,c,j,j,j,x,j
to lick2,a,a:,a,a,a,x,a,a,a,a,x,a
to lick3,l,l,l,l,l,x,0,l,l,l,x,l
to lick4,e,0,e,0,0,x,0,0,0,0,x,0
to lick4,ˀb,0,pˀ,0,0,x,0,0,0,0,0,0
to winnow1,g,g,x,g,g,g,g,g,g,g,g,g
to winnow2,u,u,x,i,u,u,o,u,u,u,u,u
to winnow3,m,m,x,m,m,ŋ/ɲ,ŋ,m,m,m,m,m
to sow1,b,b,b,b,b,b,b,b,b,b,b,x
to sow2,u,ü,i,i,i,i,i,i,i,i,i,x
to sow3,ˀd,d,ʔ,ɽ,ˀɖ,r,g,tˀ,dˀ,ɖ,ʈ,x
to boil1,a,ə,0,i,i,x,0,i,i,i,i,i
to boil2,s,s,s,s,s,x,s,s,s,s,s,s
to boil3,i,i,i,i,i,x,i,i,i,i,i,i
to boil3,n,n,ŋ,n,n,x,ŋ,n,n,n,ŋ,n
to cover1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,d,d,d,x,d
to cover2,a,a,a,a,a,a,a,a,a/ā,a,x,a:
to cover3,l,l,l,l,l,n,0,l,l,l,x,l
to grab1,x,x,s,s,s,s,s,s,s,s,s,s
to grab2,x,x,o,o,u,ɔ,a,a,a:,a,a:,a:
to grab3,x,x,pˀ,b,ˀb,b,ʔ,pˀ,b,b,b,p
to bury1,t,t,t,t,t,t,x,t,t,x,t,x
to bury2,u,i,i,i,i,i,x,i,i,x,i:,x
to bury3,l,l,0,l,l,r,x,l,l,x,l,x
to stand1,t,t,t,t,t,t,th,t,t,t,x,ʈ
to stand2,i,a,o,u,u,ɔ,wa,e,i,i,x,e
to stand3,n,n,ŋ,n,ŋ,ŋ,N,ŋg,ŋ,ŋ,x,ng
to stand3,a,a,0,o,o,ɔ,0,o,u,u,x,e
to stand4,ŋ,ŋ,0,n,n,n,0,n,n,0,x,n
